Index	Master TC	Reel	Scene	Take	Director	Cinematographer	Production	Circle Take	Production Company	Location	Operator	User Info 1	User Info 2	Camera Clip Name	Camera Family	Camera Serial Number	Camera ID	Camera Index	Camera SUP Name	Camera Model	Camera Product	Camera SubProduct	System Image Creation Date	System Image Creation Time	System Image Timezone Offset	System Image Timezone DST	Exposure Time	Shutter Angle	Mirror Shutter Running	Sensor FPS	Project FPS	Master TC	Master TC Time Base	Master TC Frame Count	Master TC User Info	Storage Media Serial Number	SMPTE UMID	Recorder Type	Vari	UUID	Image Width	Image Height	Active Image Width	Active Image Height	Active Image Top	Active Image Left	Full Image Width	Full Image Height	Color Processing Version	White Balance	White Balance CC	WB Factor R	WB Factor G	WB Factor B	WB Applied In Camera	Exposure Index ASA	Target Color Space	Sharpness	Lens Squeeze	Image Orientation	Look	Look Burned In	Look LUT Mode	Look LUT Offset	Look LUT Size	CDL Saturation	CDL Slope R	CDL Slope G	CDL Slope B	CDL Offset R	CDL Offset G	CDL Offset B	CDL Power R	CDL Power G	CDL Power B	Printer Lights R	Printer Lights G	Printer Lights B	CDL Mode	Lens Model	Lens Serial Number	Lens Distance Unit	Lens Focus Distance	Lens Focal Length	Lens Iris	RawEncoderFocus RawLds	RawEncoderFocus RawMotor	RawEncoderFocal RawLds	RawEncoderFocal RawMotor	RawEncoderIris RawLds	RawEncoderIris RawMotor	EncoderLimFocusLdsMin	EncoderLimFocusLdsMax	EncoderLimFocusMotorMin	EncoderLimFocusMotorMax	EncoderLimFocalLdsMin	EncoderLimFocalLdsMax	EncoderLimFocalMotorMin	EncoderLimFocalMotorMax	EncoderLimIrisLdsMin	EncoderLimIrisLdsMax	EncoderLimIrisMotorMin	EncoderLimIrisMotorMax	Lds Lag Type	Lds Lag Value	Lens Linear Iris	ND Filter Type	ND Filter Density	Camera Tilt	Camera Roll	Master Slave Setup Info	3D Eye Info	Sound Roll	Frameline Version	Frame Line File 1	Frame Line File 2	Frame Line 1A Type	Frame Line 1A Name	Frame Line 1A Left	Frame Line 1A Top	Frame Line 1A Width	Frame Line 1A Height	Frame Line 1B Type	Frame Line 1B Name	Frame Line 1B Left	Frame Line 1B Top	Frame Line 1B Width	Frame Line 1B Height	Frame Line 1C Type	Frame Line 1C Name	Frame Line 1C Left	Frame Line 1C Top	Frame Line 1C Width	Frame Line 1C Height	Frame Line 2A Type	Frame Line 2A Name	Frame Line 2A Left	Frame Line 2A Top	Frame Line 2A Width	Frame Line 2A Height	Frame Line 2B Type	Frame Line 2B Name	Frame Line 2B Left	Frame Line 2B Top	Frame Line 2B Width	Frame Line 2B Height	Frame Line 2C Type	Frame Line 2C Name	Frame Line 2C Left	Frame Line 2C Top	Frame Line 2C Width	Frame Line 2C Height	Noise Reduction Version	Noise Reduction Mode	Noise Reduction Strength	Noise Reduction Applied
     422	00:54:47:05	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:05	24.000	78893	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     423	00:54:47:06	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:06	24.000	78894	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     424	00:54:47:07	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:07	24.000	78895	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     425	00:54:47:08	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:08	24.000	78896	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     426	00:54:47:09	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:09	24.000	78897	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     427	00:54:47:10	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:10	24.000	78898	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     428	00:54:47:11	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:11	24.000	78899	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     429	00:54:47:12	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:12	24.000	78900	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     430	00:54:47:13	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:13	24.000	78901	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     431	00:54:47:14	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:14	24.000	78902	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     432	00:54:47:15	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:15	24.000	78903	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     433	00:54:47:16	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:16	24.000	78904	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     434	00:54:47:17	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:17	24.000	78905	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     435	00:54:47:18	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:18	24.000	78906	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     436	00:54:47:19	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:19	24.000	78907	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     437	00:54:47:20	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:20	24.000	78908	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     438	00:54:47:21	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:21	24.000	78909	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     439	00:54:47:22	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:22	24.000	78910	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     440	00:54:47:23	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:47:23	24.000	78911	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
     441	00:54:48:00	A003R0D0		C025				--		--	--	--	--	A003C025_150830_R0D0	ALEXA65	468	R0D0	A	Alexa65X_1.0:31325	Alexa65  XT	65	 XT	2015/08/30	14:35:59	UTC-04:00	+00:00	20.833 ms	180.000	N/A	24.000	23.976	00:54:48:00	24.000	78912	--	2897ce6405000001	060A2B340101010501010F00-13-000000-A58DC7C100004000931E232300000000	Codex Digital;;sim2-3.1.0beta-03	Valid Image	A58DC7C1-0000-4000-931E-232300000000	6560	3100	6560	3100	0	0	6560	3100	4	6200	 -3	1.947299	1.000000	1.403027	no	800	LogCWGam	100	1.000	No flip	None	No	No Look LUT	--	0	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	No Look	Prime 50  5020981	5020981	Inch	179.661	50.000	16.0 + 0/10	11701	18901	--	--	3695	--	3089	12861	105	21399	--	--	--	--	3189	4727	--	--	1	0	8962	No Filter	--	-4.000	-0.100	independent	single		--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	Inactive	--	--	--	--	--	--	OFF	--	OFF
